Stock A,Stock B,Lag,R-squared,ofi_pca_lagged,volume,volatility
AAPL,AMGN,5s,0.7820597408332803,0.6175951587833326,0.2927681365566228,0.08963670466004475
AAPL,JPM,1s,0.7143886006569691,0.6451954112393685,0.2301904995302715,0.12461408923035994
AAPL,TSLA,50ms,0.23123033177731944,0.4476298766493095,0.26221762385458236,0.2901524994961081
AAPL,XOM,5s,0.7951622504356383,0.702371315145556,0.23838642797681572,0.05924225687762849
AMGN,AAPL,5min,0.43086754079168976,0.6345448804462268,0.13597329296509017,0.229481826588683
AMGN,JPM,1s,0.42390341105027074,0.38386479815305385,0.21428347818808272,0.4018517236588635
AMGN,TSLA,100ms,0.24371999191290616,0.4188431872567095,0.27444146525308094,0.3067153474902095
AMGN,XOM,5min,0.7957495465588591,0.63370398196482,0.2345544782764126,0.13174153975876743
JPM,AAPL,10s,0.5784354294261626,0.6366031063183256,0.17050044435482448,0.19289644932684988
JPM,AMGN,100ms,0.7567325630706212,0.5618905038402224,0.267446273202654,0.17066322295712355
JPM,TSLA,100ms,0.18190312150397658,0.42083496852181157,0.26079114302327433,0.31837388845491416
JPM,XOM,1min,0.7609642247413841,0.697958877777875,0.18458778228181533,0.1174533399403097
TSLA,AAPL,50ms,0.5603421145881127,0.5606327830187388,0.3025390291187446,0.13682818786251677
TSLA,AMGN,10s,0.7735529858180415,0.5412862850816378,0.3790818037242134,0.07963191119414885
TSLA,JPM,5min,0.6770672360387524,0.646982876600156,0.23639801150716033,0.11661911189268369
TSLA,XOM,10s,0.8204780806434391,0.7159363601313519,0.22947653113840893,0.05458710873023926
XOM,AAPL,100ms,0.353244559195212,0.4509329393465836,0.2761836929515101,0.2728833677019064
XOM,AMGN,10s,0.6116868482534361,0.6075726444121151,0.23092413961759908,0.1615032159702859
XOM,JPM,100ms,0.6343815536547098,0.5773111240656174,0.2175392572895158,0.20514961864486692
XOM,TSLA,100ms,0.10672453728896392,0.41611198181954573,0.27596854100987805,0.3079194771705762
